loc,name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8177,velocity,1.5,org.apache.velocity.runtime.parser.Parser,152,1,0,66,245,7900,48,60,50,0.761589404,0.785714286,10,0,0.145695364,0,0,52.61184211,12,2.6118,1
226,velocity,1.5,org.apache.velocity.runtime.directive.Foreach,5,2,0,16,32,8,0,16,5,0.75,1,1,0.636363636,0.44,0,0,43.2,1,0.8,1
264,velocity,1.5,org.apache.velocity.util.introspection.UberspectImpl,8,1,1,25,37,2,1,24,8,0.428571429,1,2,0,0.392857143,0,0,31.75,1,0.875,1
487,velocity,1.5,org.apache.velocity.runtime.directive.VelocimacroProxy,15,2,0,19,50,39,3,16,12,0.811688312,1,1,0.333333333,0.237037037,0,0,30.73333333,3,1.2667,1
1402,velocity,1.5,org.apache.velocity.runtime.RuntimeInstance,49,1,0,33,132,674,3,30,38,0.794507576,0.590909091,7,0,0.181632653,0,0,27.16326531,6,1.4286,1
998,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTReference,14,2,0,22,66,27,8,16,13,0.764423077,1,1,0.7,0.253968254,1,2,69.14285714,18,2.2143,1
53,velocity,1.5,org.apache.velocity.runtime.RuntimeConstants,0,1,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1
615,velocity,1.5,org.apache.velocity.runtime.VelocimacroFactory,13,1,0,14,51,16,1,13,6,0.675925926,1,3,0,0.369230769,0,0,45.61538462,12,3.0769,1
244,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTStringLiteral,5,2,0,14,30,0,4,12,5,0.4,1,1,0.903225806,0.433333333,1,1,46.8,4,1.2,1
219,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTDirective,8,2,0,17,42,0,5,14,8,0.523809524,1,1,0.823529412,0.28125,1,1,26,1,0.75,1
382,velocity,1.5,org.apache.velocity.runtime.parser.node.SimpleNode,30,1,43,68,49,359,59,12,30,0.902821317,0.909090909,7,0,0.176666667,1,1,11.36666667,4,1.3333,1
229,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTSetDirective,7,2,0,16,35,9,4,14,5,0.566666667,0.8,3,0.848484848,0.326530612,1,1,31,1,0.7143,1
158,velocity,1.5,org.apache.velocity.runtime.resource.loader.StringResourceLoader,8,2,0,10,33,26,0,10,6,1.057142857,0,0,0.647058824,0.357142857,1,1,18.125,3,1.125,1
245,velocity,1.5,org.apache.velocity.context.VMContext,23,1,0,9,52,0,1,8,22,0.672727273,0.2,2,0,0.186956522,0,0,9.434782609,4,1.1739,1
12396,velocity,1.5,org.apache.velocity.runtime.parser.ParserTokenManager,90,1,0,5,123,575,1,4,10,0.804221995,0.272727273,1,0,0.338951311,0,0,136.3666667,201,12.8222,1
316,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTMethod,6,2,0,20,37,0,5,17,6,0.533333333,1,1,0.875,0.416666667,1,2,51.16666667,1,0.6667,1
300,velocity,1.5,org.apache.velocity.runtime.VelocimacroManager,14,1,0,5,26,43,2,4,7,0.703296703,1,1,0,0.346153846,0,0,19.92857143,5,2.2143,1
33,velocity,1.5,org.apache.velocity.runtime.RuntimeServices,33,1,0,64,33,528,56,14,33,2,0,0,0,0.222222222,0,0,0,1,1,1
603,velocity,1.5,org.apache.velocity.runtime.resource.ResourceManagerImpl,9,1,0,15,78,0,0,15,5,0.738636364,0.727272727,3,0,0.422222222,0,0,64.77777778,8,1.8889,1
261,velocity,1.5,org.apache.velocity.runtime.resource.loader.URLResourceLoader,5,2,0,6,29,0,0,6,5,0.25,1,0,0.733333333,0.45,0,0,50.8,3,1.6,1
145,velocity,1.5,org.apache.velocity.runtime.log.Log,21,1,2,74,28,208,72,2,17,0,1,1,0,0.40952381,0,0,5.857142857,2,0.9524,1
209,velocity,1.5,org.apache.velocity.Template,4,2,0,26,25,0,13,14,4,0.333333333,1,1,0.842105263,0.5,1,1,51,1,0.75,1
680,velocity,1.5,org.apache.velocity.util.introspection.MethodMap,11,1,0,2,37,49,1,1,4,0.933333333,0.25,0,0,0.233766234,0,0,59.72727273,60,9.7273,1
161,velocity,1.5,org.apache.velocity.context.InternalContextAdapterImpl,21,1,0,12,40,52,4,8,21,0.683333333,0,3,0,0.214285714,0,0,6.523809524,2,1.0476,1
90,velocity,1.5,org.apache.velocity.runtime.log.JdkLogChute,6,1,0,2,16,3,0,2,5,0.866666667,0.333333333,0,0,0.466666667,0,0,13.5,2,1.3333,1
93,velocity,1.5,org.apache.velocity.util.introspection.IntrospectorBase,9,1,1,7,17,34,1,6,4,0.6875,1,2,0,0.351851852,0,0,9.111111111,1,0.8889,1
276,velocity,1.5,org.apache.velocity.runtime.directive.Macro,10,2,0,13,39,43,2,11,7,0.777777778,1,0,0.466666667,0.24691358,0,0,26.5,5,1.5,1
316,velocity,1.5,org.apache.velocity.runtime.log.Log4JLogChute,9,1,1,12,50,0,1,11,6,0.645833333,0.666666667,1,0,0.377777778,0,0,33.44444444,3,1.6667,1
431,velocity,1.5,org.apache.velocity.app.VelocityEngine,28,1,0,18,68,0,3,15,28,0,1,1,0,0.25,0,0,14.35714286,2,0.9286,1
83,velocity,1.5,org.apache.velocity.util.introspection.Introspector,4,2,1,16,16,4,11,5,4,1.333333333,0,0,0.8,0.375,0,0,19.5,1,0.5,1
102,velocity,1.5,org.apache.velocity.runtime.parser.node.BooleanPropertyExecutor,3,3,0,6,21,3,1,5,2,2,0,0,0.875,0.722222222,2,2,33,3,1,1
161,velocity,1.5,org.apache.velocity.util.introspection.ClassMap,5,1,0,8,31,2,5,4,3,1.083333333,0.333333333,2,0,0.36,0,0,28.8,9,2.4,1
220,velocity,1.5,org.apache.velocity.runtime.parser.node.NodeUtils,4,1,0,5,17,6,2,3,4,2,0,0,0,0.3125,0,0,54,14,4,1
272,velocity,1.5,org.apache.velocity.runtime.directive.Parse,4,3,0,11,30,6,0,11,4,2,0,0,0.727272727,0.4375,1,1,67,1,0.75,1
211,velocity,1.5,org.apache.velocity.runtime.parser.ParserTreeConstants,1,1,0,3,1,0,3,0,0,2,0,0,0,0,0,0,168,0,0,1
118,velocity,1.5,org.apache.velocity.runtime.parser.node.SetPropertyExecutor,4,2,0,5,21,0,1,4,2,0.333333333,1,1,0.571428571,0.541666667,0,0,28.25,2,1,1
991,velocity,1.5,org.apache.velocity.runtime.parser.VelocityCharStream,24,1,0,2,36,0,1,1,21,0.504347826,0.666666667,0,0,0.3125,0,0,39.66666667,7,1.5,1
249,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTIdentifier,5,2,0,16,33,0,4,14,5,0.5,1,1,0.903225806,0.466666667,0,0,48.4,1,0.6,1
200,velocity,1.5,org.apache.velocity.runtime.RuntimeSingleton,39,1,0,18,76,0,3,15,38,0.026315789,1,1,0,0.111111111,0,0,4.102564103,1,0.9487,1
285,velocity,1.5,org.apache.velocity.runtime.directive.Include,7,3,0,11,31,9,0,11,5,0.5,1,0,0.571428571,0.428571429,0,0,39.42857143,1,0.8571,1
120,velocity,1.5,org.apache.velocity.runtime.resource.Resource,17,1,2,26,20,96,23,4,17,0.902777778,1,2,0,0.235294118,0,0,5.529411765,3,1.0588,1
206,velocity,1.5,org.apache.velocity.util.introspection.SecureIntrospectorImpl,4,3,0,4,21,4,1,3,3,0.555555556,0.333333333,0,0.769230769,0.458333333,1,1,49,21,5.75,1
5,velocity,1.5,org.apache.velocity.runtime.resource.util.StringResourceRepository,5,1,0,4,5,10,3,1,5,2,0,0,0,0.9,0,0,0,1,1,1
523,velocity,1.5,org.apache.velocity.runtime.resource.loader.DataSourceResourceLoader,11,2,0,8,43,27,0,8,6,0.728571429,1,0,0.523809524,0.285714286,0,0,45.90909091,5,1.9091,1
413,velocity,1.5,org.apache.velocity.runtime.resource.loader.FileResourceLoader,8,2,0,8,54,4,0,8,5,0.571428571,1,0,0.611111111,0.375,1,1,50.25,9,2.875,1
316,velocity,1.5,org.apache.velocity.app.event.EventHandlerUtil,12,1,0,21,35,66,6,15,9,2,0,0,0,0.295454545,0,0,25.33333333,3,1.6667,1
109,velocity,1.5,org.apache.velocity.runtime.parser.node.MapGetExecutor,4,2,0,3,17,0,1,2,2,0.555555556,0.333333333,0,0.571428571,0.45,0,0,25.5,6,2,1
210,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTNENode,5,2,0,11,26,10,4,9,5,2,0,0,0.903225806,0.4,2,2,41,1,0.6,1
161,velocity,1.5,org.apache.velocity.runtime.log.SystemLogChute,11,1,0,3,19,31,1,2,9,0.8,0.5,0,0,0.4,0,0,13.27272727,5,1.8182,1
10,velocity,1.5,org.apache.velocity.context.InternalHousekeepingContext,10,1,0,5,10,45,3,2,10,2,0,0,0,0.266666667,0,0,0,1,1,1
136,velocity,1.5,org.apache.velocity.util.introspection.IntrospectorCacheImpl,6,1,0,5,25,0,1,4,6,0.4,1,1,0,0.458333333,0,0,21,5,1.8333,1
24,velocity,1.5,org.apache.velocity.runtime.parser.node.Node,24,1,0,44,24,276,37,7,24,2,0,0,0,0.244047619,0,0,0,1,1,1
51,velocity,1.5,org.apache.velocity.runtime.resource.util.StringResourceRepositoryImpl,6,1,0,2,13,0,0,2,6,0.4,1,0,0,0.833333333,0,0,7.166666667,1,0.8333,1
118,velocity,1.5,org.apache.velocity.runtime.parser.node.PropertyExecutor,5,2,1,8,23,4,2,6,3,0.25,1,1,0.571428571,0.457142857,0,0,22.4,2,0.8,1
5,velocity,1.5,org.apache.velocity.util.introspection.IntrospectorCache,5,1,0,4,5,10,2,2,5,2,0,0,0,0.6,0,0,0,1,1,1
33,velocity,1.5,org.apache.velocity.runtime.visitor.VMReferenceMungeVisitor,2,2,0,4,8,0,1,3,2,0,1,0,0.977272727,0.625,0,0,15,2,1,1
580,velocity,1.5,org.apache.velocity.runtime.directive.VMProxyArg,11,1,0,13,40,0,2,11,10,0.663636364,1,3,0,0.246753247,0,0,50.72727273,3,1.1818,1
204,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTEQNode,5,2,0,11,26,10,4,9,5,2,0,0,0.903225806,0.4,2,2,39.8,1,0.6,1
90,velocity,1.5,org.apache.velocity.runtime.ParserPoolImpl,4,1,0,5,17,0,0,5,4,0.333333333,0,2,0,0.5,0,0,20.75,3,1.5,1
61,velocity,1.5,org.apache.velocity.app.event.implement.IncludeNotFound,3,1,0,5,12,0,0,5,3,0.875,0.75,1,0,0.555555556,0,0,18,4,1.6667,1
365,velocity,1.5,org.apache.velocity.app.event.EventCartridge,15,1,0,18,27,29,10,10,15,0.69047619,0.833333333,0,0,0.177777778,0,0,22.93333333,7,1.8,1
94,velocity,1.5,org.apache.velocity.exception.MethodInvocationException,8,5,0,48,15,6,45,3,8,0.80952381,1,0,0.666666667,0.375,1,1,10,2,1,1
241,velocity,1.5,org.apache.velocity.runtime.log.LogManager,3,1,0,9,32,3,1,8,2,2,0,0,0,0.444444444,0,0,79.33333333,1,0.6667,1
352,velocity,1.5,org.apache.velocity.runtime.parser.ParserConstants,1,1,0,2,1,0,2,0,0,2,0,0,0,0,0,0,276,0,0,1
