CountLineCode,$AvgCyclomatic,$AvgCyclomaticModified,$AvgCyclomaticStrict,$AvgEssential,$AvgLine,$AvgLineBlank,$AvgLineCode,$AvgLineComment,$CountLine,$CountLineBlank,$CountLineCodeDecl,$CountLineCodeExe,$CountLineComment,$CountSemicolon,$CountStmt,$CountStmtDecl,$CountStmtExe,$MaxCyclomatic,$MaxCyclomaticModified,$MaxCyclomaticStrict,$RatioCommentToCode,$SumCyclomatic,$SumCyclomaticModified,$SumCyclomaticStrict,$SumEssential,bug
4,1,1,1,1,3,0,3,0,4,0,1,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
4,1,1,1,1,3,0,3,0,4,0,1,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
4,1,1,1,1,3,0,3,0,5,1,2,1,0,1,2,1,1,1,1,1,0,1,1,1,1,0
4,1,1,1,1,3,0,3,0,4,0,1,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
4,1,1,1,1,3,0,3,0,4,0,1,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
4,1,1,1,1,3,0,3,0,4,0,1,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
4,1,1,1,1,3,0,3,0,4,0,1,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
4,0,0,0,0,0,0,0,0,4,0,3,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,3,0,3,0,4,0,1,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
4,1,1,1,1,3,0,3,0,4,0,1,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
5,1,1,1,1,3,0,3,0,5,0,2,1,0,1,2,1,1,1,1,1,0,1,1,1,1,0
5,1,1,1,1,4,0,4,0,5,0,2,1,0,2,4,3,1,1,1,1,0,1,1,1,1,0
5,1,1,1,1,4,0,4,0,5,0,2,1,0,2,4,3,1,1,1,1,0,1,1,1,1,0
5,1,1,1,1,4,0,4,0,6,1,2,2,0,2,3,1,2,1,1,1,0,1,1,1,1,0
5,1,1,1,1,2,0,2,0,10,1,3,0,4,1,2,2,0,1,1,1,0.8,1,1,1,1,0
5,1,1,1,1,3,0,3,0,5,0,2,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
5,1,1,1,1,3,0,3,0,5,0,2,1,0,1,3,2,1,1,1,1,0,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,1
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,1
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,1
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,1
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,1
6,1,1,1,1,5,0,5,0,6,0,2,2,0,3,5,3,2,1,1,1,0,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
6,1,1,1,1,2,0,2,0,16,4,4,0,6,2,3,3,0,1,1,1,1,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
6,1,1,1,1,5,0,5,0,7,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
7,1,1,1,1,5,0,5,0,7,0,4,1,0,2,4,3,1,1,1,1,0,1,1,1,1,0
7,1,1,1,1,3,0,2,0,11,3,4,1,1,2,4,3,1,1,1,1,0.14,2,2,2,2,0
7,1,1,1,1,3,0,2,0,11,3,4,1,1,2,4,3,1,1,1,1,0.14,2,2,2,2,0
7,1,1,1,1,3,0,2,0,11,3,4,1,1,2,4,3,1,1,1,1,0.14,2,2,2,2,0
7,1,1,1,1,2,0,2,0,19,3,5,0,9,3,4,4,0,1,1,1,1.29,1,1,1,1,0
7,1,1,1,1,5,0,5,0,8,1,2,3,0,3,4,1,3,1,1,1,0,1,1,1,1,0
